frase,label,prefijo,raiz,sufijo,apostrofe,persona,error
naa bisana'lu,0,naa,bisana,lu,1,1sg,⁠error_concordancia
lii bisana,0,lii,bisana,ZERO,0,2sg,⁠error_concordancia
laabe bisana'lu,0,laabe,bisana,lu,1,3sg,⁠error_concordancia
laanu bisana'du,0,laanu,bisana,du,1,1pl_incl,⁠error_concordancia
laadu bisana'nu,0,laadu,bisana,nu,1,1pl_exc,⁠error_concordancia
laatu bisana,0,laatu,bisana,ZERO,0,2pl,⁠error_concordancia
naa guse'lu,0,naa,guse,lu,1,1sg,⁠error_concordancia
lii gusi,0,lii,gusi,ZERO,0,2sg,⁠error_concordancia
laabe gusi'lu,0,laabe,gusi,lu,1,3sg,⁠error_concordancia
laanu gusi'du,0,laanu,gusi,du,1,1pl_incl,⁠error_concordancia
laadu gusi'nu,0,laadu,gusi,nu,1,1pl_exc,⁠error_concordancia
laatu gusi,0,laatu,gusi,ZERO,0,2pl,⁠error_concordancia
naa guliá'lu,0,naa,guliá,lu,1,1sg,⁠error_concordancia
lii guli,0,lii,guli,ZERO,0,2sg,⁠error_concordancia
laabe guli'lu,0,laabe,guli,lu,1,3sg,⁠error_concordancia
laanu guli'du,0,laanu,guli,du,1,1pl_incl,⁠error_concordancia
laadu guli'nu,0,laadu,guli,nu,1,1pl_exc,⁠error_concordancia
laatu guli,0,laatu,guli,ZERO,0,2pl,⁠error_concordancia
naa bizuloá'lu,0,naa,bizuloá,lu,1,1sg,⁠error_concordancia
lii bizulo,0,lii,bizulo,ZERO,0,2sg,⁠error_concordancia
laabe bizuló'lu,0,laabe,bizuló,lu,1,3sg,⁠error_concordancia
laanu bizulo'du,0,laanu,bizulo,du,1,1pl_incl,⁠error_concordancia
laadu bizulo'nu,0,laadu,bizulo,nu,1,1pl_exc,⁠error_concordancia
laatu bizulo,0,laatu,bizulo,ZERO,0,2pl,⁠error_concordancia
naa bidxela'lu,0,naa,bidxela,lu,1,1sg,⁠error_concordancia
lii bidxela,0,lii,bidxela,ZERO,0,2sg,⁠error_concordancia
laabe bidxela'lu,0,laabe,bidxela,lu,1,3sg,⁠error_concordancia
laanu bidxela'du,0,laanu,bidxela,du,1,1pl_incl,⁠error_concordancia
laadu bidxela'nu,0,laadu,bidxela,nu,1,1pl_exc,⁠error_concordancia
laatu bidxela,0,laatu,bidxela,ZERO,0,2pl,⁠error_concordancia
naa guca huaraya'lu,0,naa,guca,lu,1,1sg,⁠error_concordancia
lii guca huara,0,lii,guca huara,ZERO,0,2sg,⁠error_concordancia
laabe guca huara'lu,0,laabe,guca huara,lu,1,3sg,⁠error_concordancia
laanu guca huara'du,0,laanu,guca huara,du,1,1pl_incl,⁠error_concordancia
laadu guca huara'nu,0,laadu,guca huara,nu,1,1pl_exc,⁠error_concordancia
laatu guca huara,0,laatu,guca huara,ZERO,0,2pl,⁠error_concordancia
naa bisiide'lu,0,naa,bisiide,lu,1,1sg,⁠error_concordancia
lii bissidi,0,lii,bissidi,ZERO,0,2sg,⁠error_concordancia
laabe bissidi'lu,0,laabe,bissidi,lu,1,3sg,⁠error_concordancia
laanu bissidi'du,0,laanu,bissidi,du,1,1pl_incl,⁠error_concordancia
laadu bissidi'nu,0,laadu,bissidi,nu,1,1pl_exc,⁠error_concordancia
laatu bissidi,0,laatu,bissidi,ZERO,0,2pl,⁠error_concordancia
naa bioá'lu,0,naa,bioá,lu,1,1sg,⁠error_concordancia
lii bioa,0,lii,bioa,ZERO,0,2sg,⁠error_concordancia
laabe bioa'lu,0,laabe,bioa,lu,1,3sg,⁠error_concordancia
laanu bioa'du,0,laanu,bioa,du,1,1pl_incl,⁠error_concordancia
laadu bioa'nu,0,laadu,bioa,nu,1,1pl_exc,⁠error_concordancia
laatu bioa,0,laatu,bioa,ZERO,0,2pl,⁠error_concordancia
naa bisenda'lu,0,naa,bisenda,lu,1,1sg,⁠error_concordancia
lii bisenda,0,lii,bisenda,ZERO,0,2sg,⁠error_concordancia
laabe bisenda'lu,0,laabe,bisenda,lu,1,3sg,⁠error_concordancia
laanu bisenda'du,0,laanu,bisenda,du,1,1pl_incl,⁠error_concordancia
laadu bisenda'nu,0,laadu,bisenda,nu,1,1pl_exc,⁠error_concordancia
laatu bisenda,0,laatu,bisenda,ZERO,0,2pl,⁠error_concordancia
naa bicáa'lu,0,naa,bicáa,lu,1,1sg,⁠error_concordancia
lii bicaa,0,lii,bicaa,ZERO,0,2sg,⁠error_concordancia
laabe bicaa'lu,0,laabe,bicaa,lu,1,3sg,⁠error_concordancia
laanu bicaa'du,0,laanu,bicaa,du,1,1pl_incl,⁠error_concordancia
laadu bicaa'nu,0,laadu,bicaa,nu,1,1pl_exc,⁠error_concordancia
laatu bicaa,0,laatu,bicaa,ZERO,0,2pl,⁠error_concordancia
naa biina'lu,0,naa,biina,lu,1,1sg,⁠error_concordancia
lii biina,0,lii,biina,ZERO,0,2sg,⁠error_concordancia
laabe biina'lu,0,laabe,biina,lu,1,3sg,⁠error_concordancia
laanu biina'du,0,laanu,biina,du,1,1pl_incl,⁠error_concordancia
laadu biina'nu,0,laadu,biina,nu,1,1pl_exc,⁠error_concordancia
laatu biina,0,laatu,biina,ZERO,0,2pl,⁠error_concordancia
naa guleeza'lu,0,naa,guleeza,lu,1,1sg,⁠error_concordancia
lii guleeza,0,lii,guleeza,ZERO,0,2sg,⁠error_concordancia
laabe guleeza'lu,0,laabe,guleeza,lu,1,3sg,⁠error_concordancia
laanu guleeza'du,0,laanu,guleeza,du,1,1pl_incl,⁠error_concordancia
laadu guleeza'nu,0,laadu,guleeza,nu,1,1pl_exc,⁠error_concordancia
laatu guleeza,0,laatu,guleeza,ZERO,0,2pl,⁠error_concordancia
naa biziide'lu,0,naa,biziide,lu,1,1sg,⁠error_concordancia
lii biziidi,0,lii,biziidi,ZERO,0,2sg,⁠error_concordancia
laabe biziidi'lu,0,laabe,biziidi,lu,1,3sg,⁠error_concordancia
laanu biziidi'du,0,laanu,biziidi,du,1,1pl_incl,⁠error_concordancia
laadu biziidi'nu,0,laadu,biziidi,nu,1,1pl_exc,⁠error_concordancia
laatu biziidi,0,laatu,biziidi,ZERO,0,2pl,⁠error_concordancia
naa guniá'lu,0,naa,guniá,lu,1,1sg,⁠error_concordancia
lii guni,0,lii,guni,ZERO,0,2sg,⁠error_concordancia
laabe guni'lu,0,laabe,guni,lu,1,3sg,⁠error_concordancia
laanu guni'du,0,laanu,guni,du,1,1pl_incl,⁠error_concordancia
laadu guni'nu,0,laadu,guni,nu,1,1pl_exc,⁠error_concordancia
laatu guni,0,laatu,guni,ZERO,0,2pl,⁠error_concordancia
naa bine'lu,0,naa,bine,lu,1,1sg,⁠error_concordancia
lii bini,0,lii,bini,ZERO,0,2sg,⁠error_concordancia
laabe bini'lu,0,laabe,bini,lu,1,3sg,⁠error_concordancia
laanu bini'du,0,laanu,bini,du,1,1pl_incl,⁠error_concordancia
laadu bini'nu,0,laadu,bini,nu,1,1pl_exc,⁠error_concordancia
laatu bini,0,laatu,bini,ZERO,0,2pl,⁠error_concordancia
naa guyá'lu,0,naa,guyá,lu,1,1sg,⁠error_concordancia
lii guye,0,lii,guye,ZERO,0,2sg,⁠error_concordancia
laabe guye'lu,0,laabe,guye,lu,1,3sg,⁠error_concordancia
laanu guye'du,0,laanu,guye,du,1,1pl_incl,⁠error_concordancia
laadu guye'nu,0,laadu,guye,nu,1,1pl_exc,⁠error_concordancia
laatu guye,0,laatu,guye,ZERO,0,2pl,⁠error_concordancia
naa gudxite'lu,0,naa,gudxite,lu,1,1sg,⁠error_concordancia
lii gudxite,0,lii,gudxite,ZERO,0,2sg,⁠error_concordancia
laabe gudxite'lu,0,laabe,gudxite,lu,1,3sg,⁠error_concordancia
laanu gudxite'du,0,laanu,gudxite,du,1,1pl_incl,⁠error_concordancia
laadu gudxite'nu,0,laadu,gudxite,nu,1,1pl_exc,⁠error_concordancia
laatu gudxite,0,laatu,gudxite,ZERO,0,2pl,⁠error_concordancia
naa binda'lu,0,naa,binda,lu,1,1sg,⁠error_concordancia
lii binda,0,lii,binda,ZERO,0,2sg,⁠error_concordancia
laabe binda'lu,0,laabe,binda,lu,1,3sg,⁠error_concordancia
laanu binda'du,0,laanu,binda,du,1,1pl_incl,⁠error_concordancia
laadu binda'nu,0,laadu,binda,nu,1,1pl_exc,⁠error_concordancia
laatu binda,0,laatu,binda,ZERO,0,2pl,⁠error_concordancia
naa bisiaya'lu,0,naa,bisiaya,lu,1,1sg,⁠error_concordancia
lii bisia,0,lii,bisia,ZERO,0,2sg,⁠error_concordancia
laabe bisia'lu,0,laabe,bisia,lu,1,3sg,⁠error_concordancia
laanu bisia'du,0,laanu,bisia,du,1,1pl_incl,⁠error_concordancia
laadu bisia'nu,0,laadu,bisia,nu,1,1pl_exc,⁠error_concordancia
laatu bisia,0,laatu,bisia,ZERO,0,2pl,⁠error_concordancia
naa yendaaya'lu,0,naa,yendaaya,lu,1,1sg,⁠error_concordancia
lii yendaa,0,lii,yendaa,ZERO,0,2sg,⁠error_concordancia
laabe yendaa'lu,0,laabe,yendaa,lu,1,3sg,⁠error_concordancia
laanu yendaa'du,0,laanu,yendaa,du,1,1pl_incl,⁠error_concordancia
laadu yendao'nu,0,laadu,yendao,nu,1,1pl_exc,⁠error_concordancia
laatu yendao,0,laatu,yendao,ZERO,0,2pl,⁠error_concordancia
naa yeneá'lu,0,naa,yeneá,lu,1,1sg,⁠error_concordancia
lii yene,0,lii,yene,ZERO,0,2sg,⁠error_concordancia
laabe yene'lu,0,laabe,yene,lu,1,3sg,⁠error_concordancia
laanu yune'du,0,laanu,yune,du,1,1pl_incl,⁠error_concordancia
laadu yune'nu,0,laadu,yune,nu,1,1pl_exc,⁠error_concordancia
laatu yune,0,laatu,yune,ZERO,0,2pl,⁠error_concordancia
naa bisaaya'lu,0,naa,bisaaya,lu,1,1sg,⁠error_concordancia
lii bisaa,0,lii,bisaa,ZERO,0,2sg,⁠error_concordancia
laabe bisaa'lu,0,laabe,bisaa,lu,1,3sg,⁠error_concordancia
laanu bisaa'du,0,laanu,bisaa,du,1,1pl_incl,⁠error_concordancia
laadu bisaa'nu,0,laadu,bisaa,nu,1,1pl_exc,⁠error_concordancia
laatu bisaa,0,laatu,bisaa,ZERO,0,2pl,⁠error_concordancia
naa biyadxiá'lu,0,naa,biyadxiá,lu,1,1sg,⁠error_concordancia
lii biyadxi,0,lii,biyadxi,ZERO,0,2sg,⁠error_concordancia
laabe biyadxi'lu,0,laabe,biyadxi,lu,1,3sg,⁠error_concordancia
laanu biyadxi'du,0,laanu,biyadxi,du,1,1pl_incl,⁠error_concordancia
laadu biyadxi'nu,0,laadu,biyadxi,nu,1,1pl_exc,⁠error_concordancia
laatu biyadxi,0,laatu,biyadxi,ZERO,0,2pl,⁠error_concordancia
naa bixoba'lu,0,naa,bixoba,lu,1,1sg,⁠error_concordancia
lii bixoba,0,lii,bixoba,ZERO,0,2sg,⁠error_concordancia
laabe bixoba'lu,0,laabe,bixoba,lu,1,3sg,⁠error_concordancia
laanu bixoba'du,0,laanu,bixoba,du,1,1pl_incl,⁠error_concordancia
laadu bixoba'nu,0,laadu,bixoba,nu,1,1pl_exc,⁠error_concordancia
laatu bixoba,0,laatu,bixoba,ZERO,0,2pl,⁠error_concordancia
naa bisianda'lu,0,naa,bisianda,lu,1,1sg,⁠error_concordancia
lii bisianda,0,lii,bisianda,ZERO,0,2sg,⁠error_concordancia
laabe bisianda'lu,0,laabe,bisianda,lu,1,3sg,⁠error_concordancia
laanu bisianda'du,0,laanu,bisianda,du,1,1pl_incl,⁠error_concordancia
laadu bisianda'nu,0,laadu,bisianda,nu,1,1pl_exc,⁠error_concordancia
laatu bisianda,0,laatu,bisianda,ZERO,0,2pl,⁠error_concordancia
naa bisugaa'lu,0,naa,bisugaa,lu,1,1sg,⁠error_concordancia
lii bisugaa,0,lii,bisugaa,ZERO,0,2sg,⁠error_concordancia
laabe bisugaa'lu,0,laabe,bisugaa,lu,1,3sg,⁠error_concordancia
laanu bisugaa'du,0,laanu,bisugaa,du,1,1pl_incl,⁠error_concordancia
laadu bisugaa'nu,0,laadu,bisugaa,nu,1,1pl_exc,⁠error_concordancia
laatu bisugaa,0,laatu,bisugaa,ZERO,0,2pl,⁠error_concordancia
naa gudiide'lu,0,naa,gudiide,lu,1,1sg,⁠error_concordancia
lii gudiidi,0,lii,gudiidi,ZERO,0,2sg,⁠error_concordancia
laabe gudiidi'lu,0,laabe,gudiidi,lu,1,3sg,⁠error_concordancia
laanu gudiidi'du,0,laanu,gudiidi,du,1,1pl_incl,⁠error_concordancia
laadu gudiidi'nu,0,laadu,gudiidi,nu,1,1pl_exc,⁠error_concordancia
laatu gudiidi,0,laatu,gudiidi,ZERO,0,2pl,⁠error_concordancia
naa gunaba'lu,0,naa,gunaba,lu,1,1sg,⁠error_concordancia
lii gunaba,0,lii,gunaba,ZERO,0,2sg,⁠error_concordancia
laabe gunaba'lu,0,laabe,gunaba,lu,1,3sg,⁠error_concordancia
laanu gunaba'du,0,laanu,gunaba,du,1,1pl_incl,⁠error_concordancia
laadu gunaba'nu,0,laadu,gunaba,nu,1,1pl_exc,⁠error_concordancia
laatu gunaba,0,laatu,gunaba,ZERO,0,2pl,⁠error_concordancia
naa bicá'lu,0,naa,bicá,lu,1,1sg,⁠error_concordancia
lii bica,0,lii,bica,ZERO,0,2sg,⁠error_concordancia
laabe bica'lu,0,laabe,bica,lu,1,3sg,⁠error_concordancia
laanu bica'du,0,laanu,bica,du,1,1pl_incl,⁠error_concordancia
laadu bica'nu,0,laadu,bica,nu,1,1pl_exc,⁠error_concordancia
laatu bica,0,laatu,bica,ZERO,0,2pl,⁠error_concordancia
naa guni ique'lu,0,naa,guni ique,lu,1,1sg,⁠error_concordancia
lii guni ique,0,lii,guni ique,ZERO,0,2sg,⁠error_concordancia
laabe guni ique'lu,0,laabe,guni ique,lu,1,3sg,⁠error_concordancia
laanu guni ique'du,0,laanu,guni ique,du,1,1pl_incl,⁠error_concordancia
laadu guni ique'nu,0,laadu,guni ique,nu,1,1pl_exc,⁠error_concordancia
laatu guni ique,0,laatu,guni ique,ZERO,0,2pl,⁠error_concordancia
naa biui diidxa'lu,0,naa,biui diidxa,lu,1,1sg,⁠error_concordancia
lii biui diidxa,0,lii,biui diidxa,ZERO,0,2sg,⁠error_concordancia
laabe biui'lu diidxa,0,laabe,biui diidxa,lu,1,3sg,⁠error_concordancia
laanu biui'du diidxa,0,laanu,biui diidxa,du,1,1pl_incl,⁠error_concordancia
laadu biui'nu diidxa,0,laadu,biui diidxa,nu,1,1pl_exc,⁠error_concordancia
laatu biui diidxa,0,laatu,biui diidxa,ZERO,0,2pl,⁠error_concordancia
naa gudxhe'lu,0,naa,gudxhe,lu,1,1sg,⁠error_concordancia
lii gudxhe,0,lii,gudxhe,ZERO,0,2sg,⁠error_concordancia
laabe gudxhe'lu,0,laabe,gudxhe,lu,1,3sg,⁠error_concordancia
laanu gudxhe'du,0,laanu,gudxhe,du,1,1pl_incl,⁠error_concordancia
laadu gudxhe'nu,0,laadu,gudxhe,nu,1,1pl_exc,⁠error_concordancia
laatu gudxhe,0,laatu,gudxhe,ZERO,0,2pl,⁠error_concordancia
naa bitiñe'lu,0,naa,bitiñe,lu,1,1sg,⁠error_concordancia
lii bitiñe,0,lii,bitiñe,ZERO,0,2sg,⁠error_concordancia
laabe bitine'lu,0,laabe,bitine,lu,1,3sg,⁠error_concordancia
laanu bitine'du,0,laanu,bitine,du,1,1pl_incl,⁠error_concordancia
laadu bitine'nu,0,laadu,bitine,nu,1,1pl_exc,⁠error_concordancia
laatu bitine,0,laatu,bitine,ZERO,0,2pl,⁠error_concordancia
naa gunna'lu,0,naa,gunna,lu,1,1sg,⁠error_concordancia
lii gunna,0,lii,gunna,ZERO,0,2sg,⁠error_concordancia
laabe gunna'lu,0,laabe,gunna,lu,1,3sg,⁠error_concordancia
laanu gunna'du,0,laanu,gunna,du,1,1pl_incl,⁠error_concordancia
laadu gunna'nu,0,laadu,gunna,nu,1,1pl_exc,⁠error_concordancia
laatu gunna,0,laatu,gunna,ZERO,0,2pl,⁠error_concordancia
naa bireá'lu,0,naa,bireá,lu,1,1sg,⁠error_concordancia
lii bire,0,lii,bire,ZERO,0,2sg,⁠error_concordancia
laabe bire'lu,0,laabe,bire,lu,1,3sg,⁠error_concordancia
laanu bire'du,0,laanu,bire,du,1,1pl_incl,⁠error_concordancia
laadu bire'nu,0,laadu,bire,nu,1,1pl_exc,⁠error_concordancia
laatu bire,0,laatu,bire,ZERO,0,2pl,⁠error_concordancia
naa guriá'lu,0,naa,guriá,lu,1,1sg,⁠error_concordancia
lii guri,0,lii,guri,ZERO,0,2sg,⁠error_concordancia
laabe guri'lu,0,laabe,guri,lu,1,3sg,⁠error_concordancia
laanu guri'du,0,laanu,guri,du,1,1pl_incl,⁠error_concordancia
laadu guri'nu,0,laadu,guri,nu,1,1pl_exc,⁠error_concordancia
laatu guri,0,laatu,guri,ZERO,0,2pl,⁠error_concordancia
naa guyá'lu,0,naa,guyá,lu,1,1sg,⁠error_concordancia
lii guyá,0,lii,guyá,ZERO,0,2sg,⁠error_concordancia
laabe guye'lu,0,laabe,guye,lu,1,3sg,⁠error_concordancia
laanu guye'du,0,laanu,guye,du,1,1pl_incl,⁠error_concordancia
laadu guye'nu,0,laadu,guye,nu,1,1pl_exc,⁠error_concordancia
laatu guca,0,laatu,guca,ZERO,0,2pl,⁠error_concordancia
naa gudxiba'lu,0,naa,gudxiba,lu,1,1sg,⁠error_concordancia
lii gudxiba,0,lii,gudxiba,ZERO,0,2sg,⁠error_concordancia
laabe gudxiba'lu,0,laabe,gudxiba,lu,1,3sg,⁠error_concordancia
laanu gudxiba'du,0,laanu,gudxiba,du,1,1pl_incl,⁠error_concordancia
laadu gudxiba'nu,0,laadu,gudxiba,nu,1,1pl_exc,⁠error_concordancia
laatu gudxiba,0,laatu,gudxiba,ZERO,0,2pl,⁠error_concordancia
naa gupa'lu,0,naa,gupa,lu,1,1sg,⁠error_concordancia
lii gupa,0,lii,gupa,ZERO,0,2sg,⁠error_concordancia
laabe gupa'lu,0,laabe,gupa,lu,1,3sg,⁠error_concordancia
laanu gupa'du,0,laanu,gupa,du,1,1pl_incl,⁠error_concordancia
laadu gupa'nu,0,laadu,gupa,nu,1,1pl_exc,⁠error_concordancia
laatu gupa,0,laatu,gupa,ZERO,0,2pl,⁠error_concordancia
naa hueá'lu,0,naa,hueá,lu,1,1sg,⁠error_concordancia
lii hue,0,lii,hue,ZERO,0,2sg,⁠error_concordancia
laabe hue'lu,0,laabe,hue,lu,1,3sg,⁠error_concordancia
laanu hue'du,0,laanu,hue,du,1,1pl_incl,⁠error_concordancia
laadu hue'nu,0,laadu,hue,nu,1,1pl_exc,⁠error_concordancia
laatu hue,0,laatu,hue,ZERO,0,2pl,⁠error_concordancia
naa bine dxiiña'lu,0,naa,bine dxiiña,lu,1,1sg,⁠error_concordancia
lii bini dxiiña,0,lii,bini dxiiña,ZERO,0,2sg,⁠error_concordancia
laabe bini dxiiña'lu,0,laabe,bini dxiiña,lu,1,3sg,⁠error_concordancia
laanu bini dxiiña'du,0,laanu,bini dxiiña,du,1,1pl_incl,⁠error_concordancia
laadu bini dxiiña'nu,0,laadu,bini dxiiña,nu,1,1pl_exc,⁠error_concordancia
laatu bini dxiiña,0,laatu,bini dxiiña,ZERO,0,2pl,⁠error_concordancia
naa bedaneá'lu,0,naa,bedaneá,lu,1,1sg,⁠error_concordancia
lii bendane,0,lii,bendane,ZERO,0,2sg,⁠error_concordancia
laabe bendane'lu,0,laabe,bendane,lu,1,3sg,⁠error_concordancia
laanu bendane'du,0,laanu,bendane,du,1,1pl_incl,⁠error_concordancia
laadu bendane'nu,0,laadu,bendane,nu,1,1pl_exc,⁠error_concordancia
laatu bendane,0,laatu,bendane,ZERO,0,2pl,⁠error_concordancia
naa biquiñe'lu,0,naa,biquiñe,lu,1,1sg,⁠error_concordancia
lii biquine,0,lii,biquine,ZERO,0,2sg,⁠error_concordancia
laabe biquine'lu,0,laabe,biquine,lu,1,3sg,⁠error_concordancia
laanu biquine'du,0,laanu,biquine,du,1,1pl_incl,⁠error_concordancia
laadu biquine'nu,0,laadu,biquine,nu,1,1pl_exc,⁠error_concordancia
laatu biquine,0,laatu,biquine,ZERO,0,2pl,⁠error_concordancia
naa biá'lu,0,naa,biá,lu,1,1sg,⁠error_concordancia
lii bia,0,lii,bia,ZERO,0,2sg,⁠error_concordancia
laabe biá'lu,0,laabe,biá,lu,1,3sg,⁠error_concordancia
laanu bidúya'du,0,laanu,bidúya,du,1,1pl_incl,⁠error_concordancia
laadu bidúya'nu,0,laadu,bidúya,nu,1,1pl_exc,⁠error_concordancia
laatu bidúya,0,laatu,bidúya,ZERO,0,2pl,⁠error_concordancia
naa yeganna'lu,0,naa,yeganna,lu,1,1sg,⁠error_concordancia
lii yeganna,0,lii,yeganna,ZERO,0,2sg,⁠error_concordancia
laabe yeganna'lu,0,laabe,yeganna,lu,1,3sg,⁠error_concordancia
laanu yeganna'du,0,laanu,yeganna,du,1,1pl_incl,⁠error_concordancia
laadu yeganna'nu,0,laadu,yeganna,nu,1,1pl_exc,⁠error_concordancia
laatu yeganna,0,laatu,yeganna,ZERO,0,2pl,⁠error_concordancia
naa guleza'lu,0,naa,guleza,lu,1,1sg,⁠error_concordancia
lii guleza,0,lii,guleza,ZERO,0,2sg,⁠error_concordancia
laabe guleza'lu,0,laabe,guleza,lu,1,3sg,⁠error_concordancia
laanu guleza'du,0,laanu,guleza,du,1,1pl_incl,⁠error_concordancia
laadu guleza'nu,0,laadu,guleza,nu,1,1pl_exc,⁠error_concordancia
laatu guleza,0,laatu,guleza,ZERO,0,2pl,⁠error_concordancia
naa guleza'lu,0,naa,guleza,lu,1,1sg,⁠error_concordancia
lii guleza,0,lii,guleza,ZERO,0,2sg,⁠error_concordancia
laabe guleza'lu,0,laabe,guleza,lu,1,3sg,⁠error_concordancia
laanu guleza'du,0,laanu,guleza,du,1,1pl_incl,⁠error_concordancia
laadu guleza'nu,0,laadu,guleza,nu,1,1pl_exc,⁠error_concordancia
laatu guleza,0,laatu,guleza,ZERO,0,2pl,⁠error_concordancia
